(Proteins Complexes)	Common-Name	Genes of polypeptide, complex, or RNA	Locations
G1G01-4068-MONOMER	LysR family transcriptional regulator	G1G01-4068	CCI-CYTOSOL-GN
G1G01-946-MONOMER	glycine betaine/carnitine/choline ABC transporter permease	G1G01-946	CCI-PM-BAC-NEG-GN
G1G01-2357-MONOMER	acyl-CoA dehydrogenase	G1G01-2357	CCI-CYTOSOL-GN
G1G01-4413-MONOMER	peptide ABC transporter substrate-binding protein	G1G01-4413	CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
G1G01-2704-MONOMER	hypothetical protein	G1G01-2704	CCI-PM-BAC-NEG-GN
G1G01-1106-MONOMER	sulfatase domain-containing protein	G1G01-1106	CCI-PM-BAC-NEG-GN
G1G01-4754-MONOMER	porin	G1G01-4754	CCI-OUTER-MEM-GN
G1G01-1453-MONOMER	hypothetical protein	G1G01-1453	
G1G01-3041-MONOMER	undecaprenyl-diphosphatase	G1G01-3041	CCI-PM-BAC-NEG-GN
G1G01-5115-MONOMER	23S rRNA pseudouridine(2457) synthase	G1G01-5115	
G1G01-3379-MONOMER	BenABC operon transcriptional activator	G1G01-3379	CCI-CYTOSOL-GN
G1G01-1796-MONOMER	2-pyrone-4,6-dicarboxylic acid hydrolase	G1G01-1796	CCI-CYTOSOL-GN
G1G01-5452-MONOMER	RNA polymerase &sigma;<sup>32</sup> factor	G1G01-5452	CCI-CYTOSOL-GN
G1G01-3717-MONOMER	hypothetical protein	G1G01-3717	
G1G01-1993-MONOMER	hypothetical protein	G1G01-1993	
G1G01-587-MONOMER	transcriptional regulator	G1G01-587	CCI-CYTOSOL-GN
G1G01-4053-MONOMER	hypothetical protein	G1G01-4053	CCI-EXTRACELLULAR-GN
G1G01-931-MONOMER	lipoprotein	G1G01-931	CCI-OUTER-MEM-GN
G1G01-2341-MONOMER	hypothetical protein	G1G01-2341	CCI-CYTOSOL-GN
G1G01-44-MONOMER	cation efflux system protein	G1G01-44	CCI-PM-BAC-NEG-GN
G1G01-2689-MONOMER	hypothetical protein	G1G01-2689	CCI-PM-BAC-NEG-GN
G1G01-1092-MONOMER	carbohydrate-selective porin	G1G01-1092	CCI-OUTER-MEM-GN
G1G01-4738-MONOMER	hypothetical protein	G1G01-4738	
G1G01-1438-MONOMER	two-component system sensor histidine kinase/response regulator	G1G01-1438	CCI-PM-BAC-NEG-GN
G1G01-3026-MONOMER	urease accessory protein	G1G01-3026	CCI-CYTOSOL-GN
G1G01-510-MONOMER	50S ribosomal protein L14	G1G01-510	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
G1G01-3364-MONOMER	hypothetical protein	G1G01-3364	
G1G01-1781-MONOMER	MarR family transcriptional regulator	G1G01-1781	CCI-CYTOSOL-GN
G1G01-5438-MONOMER	PLP binding domain-containing protein	G1G01-5438	CCI-CYTOSOL-GN
G1G01-3743-MONOMER	adenosylcobalamin biosynthesis protein CobW	G1G01-3743	CCI-CYTOSOL-GN
G1G01-3701-MONOMER	ABC transporter permease/ATP-binding protein	G1G01-3701	CCI-PM-BAC-NEG-GN
G1G01-1974-MONOMER	thiopurine S-methyltransferase	G1G01-1974	CCI-CYTOSOL-GN
G1G01-578-MONOMER	exodeoxyribonuclease 7 small subunit	G1G01-578	CCI-CYTOSOL-GN
G1G01-4036-MONOMER	hypothetical protein	G1G01-4036	
G1G01-917-MONOMER	cysteine desulfurase	G1G01-917	CCI-CYTOSOL-GN
G1G01-2326-MONOMER	formate dehydrogenase alpha subunit	G1G01-2326	CCI-CYTOSOL-GN
G1G01-3773-MONOMER	4-hydroxybenzoate 3-monooxygenase	G1G01-3773	CCI-CYTOSOL-GN
G1G01-4385-MONOMER	membrane protein	G1G01-4385	CCI-PM-BAC-NEG-GN
G1G01-2673-MONOMER	hypothetical protein	G1G01-2673	
G1G01-1078-MONOMER	heme oxygenase	G1G01-1078	CCI-CYTOSOL-GN
G1G01-4722-MONOMER	transposase	G1G01-4722	
G1G01-1422-MONOMER	UDP-N-acetylmuramoylalanine--D-glutamate ligase	G1G01-1422	CCI-CYTOSOL-GN
G1G01-3011-MONOMER	L-fuconate dehydratase	G1G01-3011	CCI-CYTOSOL-GN
G1G01-5086-MONOMER	Xaa-Pro aminopeptidase	G1G01-5086	CCI-CYTOSOL-GN
G1G01-335-MONOMER	dehydrocarnitine cleavage enzyme	G1G01-335	CCI-CYTOSOL-GN
G1G01-1766-MONOMER	DnaA regulatory inactivator Hda	G1G01-1766	CCI-CYTOSOL-GN
G1G01-5422-MONOMER	3-dehydroquinate synthase	G1G01-5422	CCI-CYTOSOL-GN
G1G01-3688-MONOMER	transcriptional regulator	G1G01-3688	CCI-CYTOSOL-GN
G1G01-1959-MONOMER	hypothetical protein	G1G01-1959	CCI-CYTOSOL-GN
G1G01-5765-MONOMER	hypothetical protein	G1G01-5765	
G1G01-4021-MONOMER	shikimate 5-dehydrogenase	G1G01-4021	CCI-CYTOSOL-GN
G1G01-901-MONOMER	phosphonate transport system permease PtxC	G1G01-901	CCI-PM-BAC-NEG-GN
G1G01-2310-MONOMER	tRNA dihydrouridine synthase DusA	G1G01-2310	CCI-CYTOSOL-GN
G1G01-4370-MONOMER	low-affinity inorganic phosphate transporter	G1G01-4370	CCI-PM-BAC-NEG-GN
G1G01-2659-MONOMER	ArsR family transcriptional regulator	G1G01-2659	
G1G01-1063-MONOMER	DoxX family protein	G1G01-1063	CCI-PM-BAC-NEG-GN
G1G01-4707-MONOMER	amino acid ABC transporter permease	G1G01-4707	CCI-PM-BAC-NEG-GN
G1G01-1407-MONOMER	stringent starvation protein A	G1G01-1407	CCI-CYTOSOL-GN
G1G01-2998-MONOMER	RND family multidrug permease MexD	G1G01-2998	CCI-PM-BAC-NEG-GN
G1G01-5070-MONOMER	hypothetical protein	G1G01-5070	
G1G01-3335-MONOMER	error-prone DNA polymerase	G1G01-3335	CCI-CYTOSOL-GN
G1G01-1751-MONOMER	transposase	G1G01-1751	
G1G01-5408-MONOMER	choline dehydrogenase	G1G01-5408	CCI-PM-BAC-NEG-GN
G1G01-3672-MONOMER	AraC family transcriptional regulator	G1G01-3672	CCI-CYTOSOL-GN
G1G01-1943-MONOMER	membrane protein	G1G01-1943	CCI-PM-BAC-NEG-GN
G1G01-5749-MONOMER	hypothetical protein	G1G01-5749	CCI-PM-BAC-NEG-GN
G1G01-4007-MONOMER	&beta;-ketothiolase BktB	G1G01-4007	CCI-CYTOSOL-GN
G1G01-888-MONOMER	cytochrome bo terminal oxidase subunit IV	G1G01-888	CCI-PM-BAC-NEG-GN
G1G01-2297-MONOMER	lipoprotein releasing system permease	G1G01-2297	CCI-PM-BAC-NEG-GN
G1G01-4350-MONOMER	rhs family protein	G1G01-4350	CCO-MEMBRANE
G1G01-2643-MONOMER	MerR family transcriptional regulator	G1G01-2643	
G1G01-1047-MONOMER	nucleoid-associated protein	G1G01-1047	CCI-BAC-NUCLEOID-GN // CCI-CYTOSOL-GN
G1G01-4693-MONOMER	hypothetical protein	G1G01-4693	CCI-CYTOSOL-GN
G1G01-1393-MONOMER	Pyocin S-type killer domain-containing protein	G1G01-1393	CCI-EXTRACELLULAR-GN
G1G01-2983-MONOMER	1,3-propanediol dehydrogenase	G1G01-2983	CCI-CYTOSOL-GN
G1G01-5054-MONOMER	chaperone protein DnaJ	G1G01-5054	CCI-CYTOSOL-GN
G1G01-332-MONOMER	metallopeptidase	G1G01-332	
G1G01-1736-MONOMER	ferredoxin--NADP(+) reductase	G1G01-1736	CCI-CYTOSOL-GN
G1G01-5394-MONOMER	transposase	G1G01-5394	
G1G01-3658-MONOMER	RND family transporter membrane fusion protein	G1G01-3658	CCI-PM-BAC-NEG-GN
G1G01-1929-MONOMER	Smr domain-containing protein	G1G01-1929	CCI-CYTOSOL-GN
G1G01-5734-MONOMER	metal-binding protein	G1G01-5734	
G1G01-3993-MONOMER	MFS transporter	G1G01-3993	CCI-PM-BAC-NEG-GN
G1G01-873-MONOMER	histidine-specific outer membrane porin D	G1G01-873	CCI-OUTER-MEM-GN
G1G01-2282-MONOMER	hypothetical protein	G1G01-2282	
G1G01-4333-MONOMER	hypothetical protein	G1G01-4333	
G1G01-2628-MONOMER	ribokinase	G1G01-2628	CCI-CYTOSOL-GN
G1G01-1032-MONOMER	ABC transporter ATP-binding protein	G1G01-1032	CCI-PM-BAC-NEG-GN
G1G01-4678-MONOMER	Bkd operon transcriptional regulator	G1G01-4678	CCI-CYTOSOL-GN
G1G01-1379-MONOMER	cyclic pyranopterin monophosphate synthase accessory protein	G1G01-1379	CCI-CYTOSOL-GN
G1G01-2968-MONOMER	MerR family transcriptional regulator	G1G01-2968	CCI-CYTOSOL-GN
G1G01-5036-MONOMER	transcription termination/antitermination factor L	G1G01-5036	CCI-CYTOSOL-GN
G1G01-3304-MONOMER	membrane protein	G1G01-3304	CCO-MEMBRANE
G1G01-1719-MONOMER	M23B subfamily metallopeptidase	G1G01-1719	CCI-OUTER-MEM-GN
G1G01-538-MONOMER	formate dehydrogenase 1 &beta; subunit	G1G01-538	CCI-PM-BAC-NEG-GN
G1G01-3643-MONOMER	precorrin-4 C(11)-methyltransferase	G1G01-3643	CCI-CYTOSOL-GN
G1G01-1913-MONOMER	hypothetical protein	G1G01-1913	CCO-MEMBRANE
G1G01-4194-MONOMER	hypothetical protein	G1G01-4194	
G1G01-5719-MONOMER	hypothetical protein	G1G01-5719	
G1G01-3979-MONOMER	enoyl-CoA hydratase/isomerase family protein	G1G01-3979	CCI-CYTOSOL-GN
G1G01-859-MONOMER	sulfate transport protein CysZ	G1G01-859	CCI-PM-BAC-NEG-GN
G1G01-2268-MONOMER	sensor histidine kinase	G1G01-2268	CCI-PM-BAC-NEG-GN
G1G01-4319-MONOMER	hypothetical protein	G1G01-4319	
G1G01-2611-MONOMER	LysR family transcriptional regulator	G1G01-2611	CCI-CYTOSOL-GN
G1G01-1018-MONOMER	class 2 fumarate hydratase	G1G01-1018	CCI-CYTOSOL-GN
G1G01-4164-MONOMER	hypothetical protein	G1G01-4164	
G1G01-4663-MONOMER	flagellar basal-body rod protein FlgG	G1G01-4663	CCI-EXTRACELLULAR-GN // CCO-CELL-PROJECTION
G1G01-4410-MONOMER	hypothetical protein	G1G01-4410	CCI-CYTOSOL-GN
G1G01-1364-MONOMER	mannose-6-phosphate isomerase/mannose-1-phosphate guanylyltransferase	G1G01-1364	CCI-CYTOSOL-GN
G1G01-2953-MONOMER	hypothetical protein	G1G01-2953	CCI-PM-BAC-NEG-GN
G1G01-5020-MONOMER	3-methyl-2-oxobutanoate hydroxymethyltransferase	G1G01-5020	CCI-CYTOSOL-GN
G1G01-811-MONOMER	glutamate racemase	G1G01-811	CCI-CYTOSOL-GN
G1G01-329-MONOMER	hypothetical protein	G1G01-329	
G1G01-1703-MONOMER	DNA polymerase III subunit alpha	G1G01-1703	CCI-CYTOSOL-GN
G1G01-5364-MONOMER	16S rRNA (uracil(1498)-N(3))-methyltransferase	G1G01-5364	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
G1G01-3627-MONOMER	hypothetical protein	G1G01-3627	
G1G01-19-MONOMER	hypothetical protein	G1G01-19	CCI-CYTOSOL-GN
G1G01-5704-MONOMER	LysR family transcriptional regulator	G1G01-5704	CCI-CYTOSOL-GN
G1G01-3964-MONOMER	diguanylate cyclase	G1G01-3964	CCI-PM-BAC-NEG-GN
G1G01-844-MONOMER	TPR domain-containing response regulator	G1G01-844	CCI-CYTOSOL-GN
G1G01-2252-MONOMER	aconitate hydratase	G1G01-2252	CCI-CYTOSOL-GN
G1G01-4304-MONOMER	transcriptional regulator, TetR family	G1G01-4304	
G1G01-2598-MONOMER	hypothetical protein	G1G01-2598	CCI-CYTOSOL-GN
G1G01-814-MONOMER	deoxyribodipyrimidine photolyase	G1G01-814	CCI-CYTOSOL-GN
G1G01-1003-MONOMER	lipoprotein	G1G01-1003	
G1G01-4649-MONOMER	two-component system DNA-binding transcriptional activator AtoC	G1G01-4649	CCI-CYTOSOL-GN
G1G01-135-MONOMER	GGDEF domain-containing protein	G1G01-135	CCI-CYTOSOL-GN
G1G01-2939-MONOMER	ribose ABC transporter substrate-binding protein	G1G01-2939	
G1G01-5005-MONOMER	putative lipoprotein	G1G01-5005	CCI-PERI-BAC-GN
G1G01-3275-MONOMER	hypothetical protein	G1G01-3275	CCO-MEMBRANE
G1G01-1688-MONOMER	30S ribosomal protein S2	G1G01-1688	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
G1G01-535-MONOMER	NADP-dependent dehydrogenase	G1G01-535	CCI-CYTOSOL-GN
G1G01-3612-MONOMER	transposase	G1G01-3612	CCI-CYTOSOL-GN
G1G01-5690-MONOMER	membrane protein	G1G01-5690	CCI-PM-BAC-NEG-GN
G1G01-395-MONOMER	competence protein ComF	G1G01-395	CCI-CYTOSOL-GN
G1G01-829-MONOMER	hypothetical protein	G1G01-829	
G1G01-2238-MONOMER	D-alanyl-D-alanine carboxypeptidase	G1G01-2238	CCI-PERI-BAC-GN
G1G01-429-MONOMER	dihydroneopterin aldolase	G1G01-429	CCI-CYTOSOL-GN
G1G01-4634-MONOMER	flagellar export apparatus protein	G1G01-4634	CCI-PM-BAC-NEG-GN // CCO-CELL-PROJECTION
G1G01-1334-MONOMER	hypothetical protein	G1G01-1334	
G1G01-2924-MONOMER	GNAT family acetyltransferase	G1G01-2924	
G1G01-4987-MONOMER	multifunctional ATP-dependent DNA helicase/dsDNA/ssDNA exonuclease/ssDNA endonuclease recombinase subunit	G1G01-4987	
G1G01-3259-MONOMER	hypothetical protein	G1G01-3259	CCI-CYTOSOL-GN
G1G01-1671-MONOMER	lambda family tail tape meausure protein	G1G01-1671	CCI-OUTER-MEM-GN
G1G01-5335-MONOMER	twitching motility protein PilI	G1G01-5335	CCI-CYTOSOL-GN
G1G01-3599-MONOMER	MFS transporter	G1G01-3599	CCI-PM-BAC-NEG-GN
G1G01-5676-MONOMER	two-component system DNA-binding response regulator PhoB	G1G01-5676	CCI-CYTOSOL-GN
G1G01-3935-MONOMER	hypothetical protein	G1G01-3935	
G1G01-4109-MONOMER	hemolysin-type calcium-binding protein	G1G01-4109	CCI-EXTRACELLULAR-GN
G1G01-2221-MONOMER	lipase	G1G01-2221	CCI-PM-BAC-NEG-GN
G1G01-4275-MONOMER	ATP-dependent serine protease	G1G01-4275	CCI-CYTOSOL-GN
G1G01-4618-MONOMER	two-component system response regulator	G1G01-4618	CCI-CYTOSOL-GN
G1G01-1317-MONOMER	quinolinate synthase iron-sulfur cluster subunit	G1G01-1317	CCI-CYTOSOL-GN
G1G01-257-MONOMER	peroxidase	G1G01-257	CCI-CYTOSOL-GN
G1G01-291-MONOMER	glutamate synthase large subunit	G1G01-291	
G1G01-4972-MONOMER	gamma-glutamyltranspeptidase	G1G01-4972	CCI-PERI-BAC-GN
G1G01-1657-MONOMER	terminase large subunit	G1G01-1657	CCI-CYTOSOL-GN
G1G01-532-MONOMER	single-stranded DNA-binding protein	G1G01-532	CCI-CYTOSOL-GN
G1G01-3247-MONOMER	pectinesterase	G1G01-3247	
G1G01-3584-MONOMER	sulfatase-modifying protein	G1G01-3584	
G1G01-5661-MONOMER	lipoprotein	G1G01-5661	
G1G01-392-MONOMER	membrane protein	G1G01-392	CCI-PM-BAC-NEG-GN
G1G01-80-MONOMER	choline sulfate transporter	G1G01-80	CCI-PM-BAC-NEG-GN
G1G01-2207-MONOMER	multidrug MFS transporter outer membrane protein	G1G01-2207	CCI-OUTER-MEM-GN
G1G01-4260-MONOMER	sulfur transfer protein complex subunit TusD	G1G01-4260	CCI-CYTOSOL-GN
G1G01-4603-MONOMER	protoheme IX reservoir complex subunit	G1G01-4603	CCI-PM-BAC-NEG-GN
G1G01-1301-MONOMER	Holliday junction ATP-dependent DNA helicase RuvA	G1G01-1301	CCI-CYTOSOL-GN
G1G01-2555-MONOMER	MFS transporter	G1G01-2555	CCI-PM-BAC-NEG-GN
G1G01-2896-MONOMER	organoarsenical oxidase ArsH2 monomer	G1G01-2896	CCI-CYTOSOL-GN
G1G01-4958-MONOMER	large-conductance mechanosensitive channel	G1G01-4958	CCI-PM-BAC-NEG-GN
G1G01-1642-MONOMER	hypothetical protein	G1G01-1642	
G1G01-5305-MONOMER	lipoprotein	G1G01-5305	
G1G01-3232-MONOMER	terminase large subunit	G1G01-3232	
G1G01-357-MONOMER	sarcosine oxidase subunit delta	G1G01-357	CCI-CYTOSOL-GN
G1G01-5647-MONOMER	transposase	G1G01-5647	
G1G01-785-MONOMER	putative hydrolase	G1G01-785	
G1G01-3906-MONOMER	catalase-peroxidase	G1G01-3906	CCI-CYTOSOL-GN
G1G01-2193-MONOMER	isomerase	G1G01-2193	CCI-CYTOSOL-GN
G1G01-4244-MONOMER	transposase	G1G01-4244	
G1G01-1284-MONOMER	phospholipids modification protein	G1G01-1284	CCI-PM-BAC-NEG-GN
G1G01-254-MONOMER	taurine ABC transporter ATP-binding protein	G1G01-254	CCI-PM-BAC-NEG-GN
G1G01-2881-MONOMER	AhpC/TSA family protein	G1G01-2881	
G1G01-4943-MONOMER	hypothetical protein	G1G01-4943	CCI-PM-BAC-NEG-GN
G1G01-1627-MONOMER	hypothetical protein	G1G01-1627	
G1G01-5291-MONOMER	membrane protein	G1G01-5291	CCO-MEMBRANE
G1G01-3218-MONOMER	DNA-binding protein Roi-like protein	G1G01-3218	
G1G01-3553-MONOMER	CobW/P47K family protein	G1G01-3553	CCI-CYTOSOL-GN
G1G01-5632-MONOMER	hypothetical protein	G1G01-5632	
G1G01-77-MONOMER	quinone oxidoreductase	G1G01-77	CCI-CYTOSOL-GN
G1G01-3892-MONOMER	leucine-responsive regulatory protein	G1G01-3892	CCI-CYTOSOL-GN
G1G01-2179-MONOMER	hypothetical protein	G1G01-2179	
G1G01-4229-MONOMER	transposase	G1G01-4229	CCI-CYTOSOL-GN
G1G01-4179-MONOMER	hypothetical protein	G1G01-4179	CCI-CYTOSOL-GN
G1G01-675-MONOMER	branched-chain amino acid ABC transporter permease	G1G01-675	CCI-PM-BAC-NEG-GN
G1G01-2525-MONOMER	usher protein	G1G01-2525	CCI-OUTER-MEM-GN
G1G01-4578-MONOMER	pyruvate kinase	G1G01-4578	CCI-CYTOSOL-GN
G1G01-2867-MONOMER	transglutaminase domain-containing protein	G1G01-2867	CCI-CYTOSOL-GN
G1G01-4928-MONOMER	leucine dehydrogenase	G1G01-4928	CCI-CYTOSOL-GN
G1G01-1612-MONOMER	hypothetical protein	G1G01-1612	
G1G01-4123-MONOMER	FluMu protein gp46	G1G01-4123	
G1G01-3202-MONOMER	hypothetical protein	G1G01-3202	CCI-PM-BAC-NEG-GN
G1G01-528-MONOMER	catalase KatA monomer	G1G01-528	CCI-PERI-BAC-GN
G1G01-3539-MONOMER	aromatic aldehyde dehydrogenase FAD-binding subunit	G1G01-3539	CCI-CYTOSOL-GN
G1G01-5618-MONOMER	LysR family transcriptional regulator	G1G01-5618	CCI-CYTOSOL-GN
G1G01-755-MONOMER	hypothetical protein	G1G01-755	CCI-CYTOSOL-GN
G1G01-2164-MONOMER	TPR repeat-containing protein	G1G01-2164	CCI-PM-BAC-NEG-GN
G1G01-4213-MONOMER	nicotinate dehydrogenase subunit B	G1G01-4213	CCI-PM-BAC-NEG-GN
G1G01-1254-MONOMER	uronate dehydrogenase	G1G01-1254	CCI-CYTOSOL-GN
G1G01-251-MONOMER	choline/carnitine/betaine transporter	G1G01-251	CCI-PM-BAC-NEG-GN
G1G01-4563-MONOMER	5-hydroxyisourate hydrolase	G1G01-4563	
G1G01-2852-MONOMER	sensor histidine kinase	G1G01-2852	CCI-PM-BAC-NEG-GN
G1G01-4913-MONOMER	AraC family transcriptional regulator	G1G01-4913	CCI-CYTOSOL-GN
G1G01-1599-MONOMER	hypothetical protein	G1G01-1599	
G1G01-3189-MONOMER	RNA polymerase ECF-12 &sigma; factor	G1G01-3189	CCI-CYTOSOL-GN
G1G01-5264-MONOMER	phosphomethylpyrimidine synthase	G1G01-5264	CCI-CYTOSOL-GN
G1G01-3524-MONOMER	universal stress protein family protein	G1G01-3524	CCI-CYTOSOL-GN
G1G01-5602-MONOMER	glutathione-regulated potassium/H+ antiporter	G1G01-5602	CCI-PM-BAC-NEG-GN
G1G01-3863-MONOMER	LysE family transporter	G1G01-3863	CCI-PM-BAC-NEG-GN
G1G01-2149-MONOMER	hypothetical protein	G1G01-2149	
G1G01-742-MONOMER	bile acid/Na+ symporter family transporter	G1G01-742	CCI-PM-BAC-NEG-GN
G1G01-42-MONOMER	zinc exporting P-type ATPase	G1G01-42	CCI-PM-BAC-NEG-GN
G1G01-1236-MONOMER	inner membrane protein	G1G01-1236	CCI-PM-BAC-NEG-GN
G1G01-1314-MONOMER	methyl-accepting chemotaxis transducer	G1G01-1314	CCI-PM-BAC-NEG-GN
G1G01-4547-MONOMER	hypothetical protein	G1G01-4547	CCI-PM-BAC-NEG-GN
G1G01-2838-MONOMER	phosphate ABC transporter permease	G1G01-2838	CCI-PM-BAC-NEG-GN
G1G01-4543-MONOMER	hypothetical protein	G1G01-4543	
G1G01-2835-MONOMER	glutathione S-transferase	G1G01-2835	CCI-PM-BAC-NEG-GN
G1G01-4896-MONOMER	nitroreductase family oxidoreductase	G1G01-4896	
G1G01-1581-MONOMER	biofilm formation methyltransferase WspC	G1G01-1581	CCI-CYTOSOL-GN
G1G01-4471-MONOMER	electron transfer flavoprotein subunit beta	G1G01-4471	
G1G01-3507-MONOMER	ring 1,2-phenylacetyl-CoA epoxidase subunit alpha	G1G01-3507	CCI-CYTOSOL-GN
G1G01-5586-MONOMER	hypothetical protein	G1G01-5586	
G1G01-2128-MONOMER	cell division protein	G1G01-2128	CCI-PM-BAC-NEG-GN
G1G01-725-MONOMER	malate dehydrogenase	G1G01-725	CCI-CYTOSOL-GN
G1G01-4181-MONOMER	hypothetical protein	G1G01-4181	CCI-CYTOSOL-GN
G1G01-1217-MONOMER	branched-chain amino acid ABC transporter permease	G1G01-1217	CCI-PM-BAC-NEG-GN
G1G01-4529-MONOMER	cbb3-2 cytochrome c oxidase subunit O	G1G01-4529	CCI-CYTOSOL-GN // CCO-MEMBRANE
G1G01-2820-MONOMER	4-hydroxy-tetrahydrodipicolinate synthase	G1G01-2820	CCI-CYTOSOL-GN
G1G01-4881-MONOMER	AAA family ATPase	G1G01-4881	CCI-CYTOSOL-GN
G1G01-1567-MONOMER	CAIB/BAIF family protein	G1G01-1567	CCI-CYTOSOL-GN
G1G01-3157-MONOMER	transposase subunit B	G1G01-3157	CCI-CYTOSOL-GN
G1G01-5232-MONOMER	ATP phosphoribosyltransferase regulatory subunit	G1G01-5232	CCI-CYTOSOL-GN
G1G01-3493-MONOMER	hypothetical protein	G1G01-3493	CCI-CYTOSOL-GN
G1G01-557-MONOMER	hypothetical protein	G1G01-557	
G1G01-3831-MONOMER	amino acid ABC transporter permease	G1G01-3831	CCI-PM-BAC-NEG-GN
G1G01-2113-MONOMER	small heat shock protein IbpA	G1G01-2113	CCI-CYTOSOL-GN
G1G01-709-MONOMER	hypothetical protein	G1G01-709	
G1G01-4167-MONOMER	hypothetical protein	G1G01-4167	
G1G01-4514-MONOMER	ABC transporter ATP-binding protein	G1G01-4514	
G1G01-2805-MONOMER	hypothetical protein	G1G01-2805	CCI-CYTOSOL-GN
G1G01-1205-MONOMER	carboxylesterase	G1G01-1205	CCI-PERI-BAC-GN
G1G01-4866-MONOMER	GNAT family acetyltransferase	G1G01-4866	
G1G01-1552-MONOMER	membrane protein	G1G01-1552	CCI-PM-BAC-NEG-GN
G1G01-314-MONOMER	hypothetical protein	G1G01-314	
G1G01-5213-MONOMER	replicative DNA helicase	G1G01-5213	CCI-CYTOSOL-GN
G1G01-3479-MONOMER	carboxylate-amine ligase	G1G01-3479	CCI-CYTOSOL-GN
G1G01-5554-MONOMER	translation-like protein	G1G01-5554	CCI-PM-BAC-NEG-GN
G1G01-2093-MONOMER	TetR family transcriptional regulator	G1G01-2093	CCI-CYTOSOL-GN
G1G01-694-MONOMER	dephospho-CoA kinase	G1G01-694	CCI-CYTOSOL-GN
G1G01-4152-MONOMER	hypothetical protein	G1G01-4152	CCI-CYTOSOL-GN
G1G01-1376-MONOMER	DUF328 domain-containing protein	G1G01-1376	
G1G01-450-MONOMER	polyamine ABC transporter permease	G1G01-450	CCI-PM-BAC-NEG-GN
G1G01-1191-MONOMER	hypothetical protein	G1G01-1191	
G1G01-4851-MONOMER	hypothetical protein	G1G01-4851	CCI-CYTOSOL-GN
G1G01-1538-MONOMER	TonB-dependent receptor	G1G01-1538	CCI-OUTER-MEM-GN
G1G01-3125-MONOMER	two-component system sensor histidine kinase/response regulator	G1G01-3125	CCI-PM-BAC-NEG-GN
G1G01-52-MONOMER	hypothetical protein	G1G01-52	
G1G01-3464-MONOMER	hypothetical protein	G1G01-3464	
G1G01-1886-MONOMER	dTDP-glucose pyrophosphorylase	G1G01-1886	CCI-CYTOSOL-GN
G1G01-5539-MONOMER	glycine cleavage system protein H	G1G01-5539	CCI-CYTOSOL-GN
G1G01-3802-MONOMER	LysE family transporter	G1G01-3802	CCI-PM-BAC-NEG-GN
G1G01-2078-MONOMER	hypothetical protein	G1G01-2078	
G1G01-4138-MONOMER	hypothetical protein	G1G01-4138	
G1G01-5701-MONOMER	acetyltransferase	G1G01-5701	CCI-CYTOSOL-GN
G1G01-4486-MONOMER	outer membrane ferric-pyoverdine receptor FpvA	G1G01-4486	CCI-OUTER-MEM-GN
G1G01-2777-MONOMER	ABC transporter permease/ATP-binding protein	G1G01-2777	CCI-PM-BAC-NEG-GN
G1G01-1177-MONOMER	DEAD box family ATP-dependent helicase	G1G01-1177	
G1G01-4834-MONOMER	hypothetical protein	G1G01-4834	
G1G01-1523-MONOMER	elongation factor 4	G1G01-1523	CCI-PM-BAC-NEG-GN
G1G01-5185-MONOMER	ABC transporter ATP-binding protein	G1G01-5185	CCI-PM-BAC-NEG-GN
G1G01-345-MONOMER	electron transfer flavoprotein subunit alpha	G1G01-345	
G1G01-1870-MONOMER	3-phosphoserine/phosphohydroxythreonine aminotransferase	G1G01-1870	CCI-CYTOSOL-GN
G1G01-5523-MONOMER	spermidine/putrescine ABC transporter permease	G1G01-5523	CCI-PM-BAC-NEG-GN
G1G01-2063-MONOMER	hypothetical protein	G1G01-2063	
G1G01-660-MONOMER	isoleucine--tRNA ligase	G1G01-660	CCI-CYTOSOL-GN
MONOMER1G01-5	phosphorylated diguanylate cyclase/response regulator Rup4959	G1G01-5303	
G1G01-4197-MONOMER	hypothetical protein	G1G01-4197	CCI-PM-BAC-NEG-GN
G1G01-5464-MONOMER	coniferyl aldehyde dehydrogenase	G1G01-5464	CCI-CYTOSOL-GN
G1G01-1161-MONOMER	argininosuccinate synthase	G1G01-1161	CCI-CYTOSOL-GN
G1G01-4819-MONOMER	ATP-dependent DNA 3'-5' helicase	G1G01-4819	CCI-CYTOSOL-GN
G1G01-1509-MONOMER	tricarboxylate transport protein TctB	G1G01-1509	CCI-PM-BAC-NEG-GN
G1G01-3097-MONOMER	LysR family transcriptional regulator	G1G01-3097	CCI-PM-BAC-NEG-GN
G1G01-5170-MONOMER	precorrin-6Y C(5,15)-methyltransferase	G1G01-5170	CCI-CYTOSOL-GN
G1G01-3434-MONOMER	Rieske 2Fe-2S family protein	G1G01-3434	CCI-CYTOSOL-GN
G1G01-1855-MONOMER	hypothetical protein	G1G01-1855	CCI-PERI-BAC-GN // CCI-CYTOSOL-GN
G1G01-5509-MONOMER	penicillin amidase family protein	G1G01-5509	CCI-PERI-BAC-GN
G1G01-943-MONOMER	ABC transporter ATP-binding protein	G1G01-943	CCI-PM-BAC-NEG-GN
G1G01-2049-MONOMER	hypothetical protein	G1G01-2049	CCI-CYTOSOL-GN
